# Acquired from textfac.es and discord:the_caesar_salad

♪~ ᕕ(ᐛ)ᕗ,happy dance
（╯°□°）╯︵( .o.),friend flip
[̲̅$̲̅(̲̅5̲̅)̲̅$̲̅],money bill
Ƹ̵̡Ӝ̵̨̄Ʒ,butterfly
ᕙ(⇀‸↼‶)ᕗ,flex muscles strong bodybuilder
ᕦ(ò_óˇ)ᕤ,flex muscles strong bodybuilder alt
( ͡°╭͜ʖ╮͡° ),lenny face sensei
( ⚆ _ ⚆ ),wide eyed oh disbelief surprised
\(´ཀ`)/,despair why ohlord
( ͡°( ͡° ͜ʖ( ͡° ͜ʖ ͡°)ʖ ͡°) ͡°),lenny lennyception
¯\_(ツ)_/¯,shrug idk dunno notsure whatever
(；一_一),blendin meh blankface unimpressed notamused
\(*╬_╬*)/,hail praise worship exalt salute
_:(´ཀ`」 ∠):_,dying bleeding cough cough left
_:(⦣ l´ཀ`):_,dying bleeding cough cough right
(⌐■_■),sunglasses cool slick smooth niceone
(¬_¬),sideeye mehside doubt skeptical squint
(￣ー￣),neutral mellow calm chill alright
(⋟﹏⋞),squinch tense uneasy stress cringe
⓿_⓿,eyeO stare gaze staredown lockedin
(/.__.)/ \(.__.\),yay__ wave hiwave bothwave greeting
(づ￣ ³￣)づ,chuu hug embrace cuddle squeeze kisses
(✿◕‿◕),flower cute adorable sweet wholesome
(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧,sparkle magic glitter shimmer fairy
(◡‿◡✿),soft gentle sweet tender delicate
(✧ω✧),sparkleeyes wonder amazed wow dazzled
(￣▽￣),grin smirk sly knowing gotcha
(•_•),blank blank deadpan flatface stoic
(•‿•),smile smile pleasant friendly happy
(☞ﾟヮﾟ)☞,point youreright fingergun gotthat right
☜(ﾟヮﾟ☜),point youreright fingergun gotthat left
(☯‿☯),zen peace balance harmony serene
(◉‿◉),watching observe keeping eyes alert
(☼_☼),sun bright sunny glow radiant
(ง •̀_•́)ง,fight ready letsdothis pumped squared
(•̀ᴗ•́)و,determined pump resolved gotime onit
(∩^o^)⊃━☆ﾟ.*･｡ﾟ,cast spell zap magic blast
(∩｀-´)⊃━☆ﾟ.*･｡ﾟ,darkspell evilcast curse hex darkcas
(・∀・),happy simplejoy smile lighthappy upbeat
(￣0￣),yell shout callout holler exclaim
(￣。￣),bored blankstare meh uninterested dull
(°ロ°),shock surprised whoa noway gasp
(⊙_☉),wideeyes shock stunned agape floored
(⊙﹏⊙),confusedshock lost whoa huh baffled
(ʘᗩʘ'),panic scared alarm spooked terrified
(＠_＠),dizzy lost confused spun dazed
(－_－) zzZ,sleep asleep nap doze slumber
(∪｡∪)｡｡｡zzz,sleep dream rest outlike deadasleep
(ノ^_^)ノ,happywave bounce yay woohoo thrilled
(ﾉ´ヮ`)ﾉ*: ･ﾟ,celebrate sparkle joy festive hooray
(o^▽^o),smile happy joy beaming elated
(o´∀`o),softsmile gentle happy warmsmile easygoing
(^人^),pray hope thanks bless grateful
(人´∀`),thanks gratitude bow thankful appreciate
(シ_ _)シ,bow respect sorry humble honor
(•̀ㅂ•́)و,fight strong motivation grind gomode
(ง°ل͜°)ง,fight aggressive ready scrapping intense
(งಠ_ಠ)ง,fight serious starefight nojoke business
(づ｡◕‿‿◕｡)づ,hug bighug hugtime kawaii armsopen comein wrapup
ヽ(•‿•)ノ,joywave happyhands upup excited woah
(ó ì_í),focus locked determined serious zoned
( ˘▽˘)っ♨,hotdrink tea cozy siptime warmup
(ﾟдﾟ),startled jolt jerk ahhh jump
｡◕‿◕｡,kawaii bigsmile dotsmile glowy bright happy
(*^▽^*),giddy overjoyed thrilled ecstatic pumpedup
(´∀`),easysmile laidback unbothered chill relaxed
(＾▽＾),fullsmile opengrin widemouth joyface beamface
( ͡° ͜ʖ ͡°),lenny face creep suspicious knowing
(ᵔᴥᵔ),dog dogface pupper woof pawface pup
(^• ω •^),catface kitty meow fluffface purrface
ʕ•ᴥ•ʔ,bear bearface cub grizzly softbear
(=^･ω･^=),cat fluffcat whiskers pawprint mroww
U・ᴥ・U,dog goodboy snoot bork doggles
(ó‿ó✿),smileflower cutegrin bloomsmile prettyface daisy
(*˘⌣˘*),softface contentface happysigh pleasedsoft mellowsmile
(ʘ‿ʘ),stare bigeyesmile owleyes roundeyes openeyed innocent
(°▽°),opensmile brightface lightup cheerful perky
